,x,y,z
Lower wishbone front pivot,41.97732,6.20273,2.54585
Lower wishbone rear pivot,30.2395,6.20273,0.05092
Lower wishbone outer ball joint,36.659,25.582,-2.497
Upper wishbone front pivot,45.95,7.19668,9.22495
Upper wishbone rear pivot,30.77775,7.19668,6
Upper wishbone outer ball joint,36.378,23.973,3.965
Damper wishbone end,34.411,19.467,0.8649
Damper body end,31.805,9.566,17.5786
Outer track rod ball joint,38.4736,26.064,1.5699
Inner track rod ball joint,43.7395,6.8064,6.4646
Upper spring pivot point,31.805,9.566,17.5786
Lower spring pivot point,34.411,19.467,0.8649
Wheel spindle point,36.529,24.836,0.5
Wheel centre point,36.53,28,0.5
Outer axle joint,36.529,24.836,0.5
Inner axle joint,36.577,5.703,4.212
,,,
Steering rack,1.35,,
Shock bump from ride,5.01,,
Shock droop from ride,2.99,,
Wheel size,23,,
Shock lower mount,1,,
Wheelbase,58,,
